average_dew_point_f___float_value_to_nearest_hundredths_place,average_relative_humidity_____float_value_to_nearest_hundredths_place,average_sea_level_pressure_millibars___float_value_to_nearest_hundredths_place,average_temperature_c___float_value_to_nearest_hundredths_place,average_visibility_kilometers___float_value_to_nearest_hundredths_place,average_wind_speed_knots___float_value_to_nearest_hundredths_place,city_location_identifier__up_to_9_alphanumeric_characters_,cooling_degree_days_c___float_value_to_nearest_hundredths_place,heating_degree_days_c___float_value_to_nearest_hundredths_place,maximum_temperature_c___float_value_to_nearest_hundredths_place,minimum_temperature_c___float_value_to_nearest_hundredths_place,precipitation_integer_in_hundredths_of_a_millimeter___liquid_equivalent____0__is_used_for_trace_amounts_and___1__is_used_for_no_precipitation,valid_date_as_yyyymmdd
-3.47,66.74,1014.6,1.5,16.1,4.8,K04W,0.0,16.83,7.0,-4.0,-1.0,2024-04-01
-0.95,84.05,1010.19,2.0,14.14,5.98,K04W,0.0,16.33,4.0,0.0,-1.0,2024-04-02
-6.49,47.54,1006.81,5.0,16.1,12.39,K04W,0.0,13.33,9.0,1.0,182.0,2024-04-03
-4.31,55.88,1013.92,5.0,16.1,5.42,K04W,0.0,13.33,12.0,-2.0,-1.0,2024-04-04
-4.03,58.93,1021.37,4.5,16.1,2.94,K04W,0.0,13.83,14.0,-5.0,-1.0,2024-04-05
-4.02,50.16,1020.35,6.5,16.1,7.06,K04W,0.0,11.83,15.0,-2.0,-1.0,2024-04-06
1.24,77.25,1011.55,6.0,14.35,9.66,K04W,0.0,12.33,9.0,3.0,3008.0,2024-04-07
5.88,99.36,1006.13,6.0,11.99,4.48,K04W,0.0,12.33,7.0,5.0,1423.0,2024-04-08
4.75,81.42,1008.84,9.0,15.76,5.07,K04W,0.0,9.33,15.0,3.0,-1.0,2024-04-09
2.68,67.27,1008.5,10.0,12.53,4.32,K04W,0.0,8.33,21.0,-1.0,-1.0,2024-04-10
2.86,63.84,1007.15,9.0,16.1,6.4,K04W,0.0,9.33,16.0,2.0,52.0,2024-04-11
0.19,59.39,1014.93,7.5,16.1,7.44,K04W,0.0,10.83,15.0,0.0,-1.0,2024-04-12
1.04,57.58,1009.85,11.5,16.1,5.67,K04W,0.0,6.83,25.0,-2.0,42.0,2024-04-13
-0.37,46.94,1009.52,10.5,16.1,6.21,K04W,0.0,7.83,20.0,1.0,-1.0,2024-04-14
-3.6,34.37,1016.97,12.0,15.84,5.42,K04W,0.0,6.33,20.0,4.0,79.0,2024-04-15
1.57,68.33,1009.18,8.0,14.91,9.84,K04W,0.0,10.33,11.0,5.0,1734.0,2024-04-16
4.68,91.11,1004.77,6.5,13.99,6.71,K04W,0.0,11.83,10.0,3.0,825.0,2024-04-17
-1.51,62.17,1015.61,6.5,16.1,9.92,K04W,0.0,11.83,11.0,2.0,10.0,2024-04-18
-6.01,59.88,1017.3,1.0,15.39,11.55,K04W,0.0,17.33,3.0,-1.0,50.0,2024-04-19
-5.97,55.25,1022.05,3.5,16.1,7.1,K04W,0.0,14.83,9.0,-2.0,21.0,2024-04-20
-4.63,48.06,1019.0,7.5,16.1,5.33,K04W,0.0,10.83,16.0,-1.0,-1.0,2024-04-21
1.51,62.12,1006.81,8.5,15.57,6.32,K04W,0.0,9.83,19.0,-2.0,241.0,2024-04-22
3.15,75.76,1009.18,8.5,15.6,6.28,K04W,0.0,9.83,16.0,1.0,365.0,2024-04-23
-1.5,64.72,1024.42,5.0,16.1,2.34,K04W,0.0,13.33,14.0,-4.0,71.0,2024-04-24
-0.98,48.37,1020.69,9.0,16.1,6.05,K04W,0.0,9.33,19.0,-1.0,-1.0,2024-04-25
2.44,65.13,1010.19,9.5,14.51,8.45,K04W,0.0,8.83,12.0,7.0,804.0,2024-04-26
7.72,90.56,1006.47,10.0,13.57,6.4,K04W,0.0,8.33,13.0,7.0,1612.0,2024-04-27
2.95,88.34,1015.61,5.0,13.73,8.62,K04W,0.0,13.33,8.0,2.0,1290.0,2024-04-28
4.78,99.59,1007.82,5.0,11.19,4.23,K04W,0.0,13.33,7.0,3.0,950.0,2024-04-29
6.6,81.42,1008.5,10.5,14.14,3.49,K04W,0.0,7.83,17.0,4.0,135.0,2024-04-30
-4.42,68.37,1018.66,1.5,16.1,4.35,K05U,0.0,16.83,9.0,-6.0,-1.0,2024-04-01
-2.81,60.97,1027.8,6.0,16.07,2.33,K05U,0.0,12.33,17.0,-5.0,9.0,2024-04-02
-2.98,47.22,1019.68,10.0,16.1,7.48,K05U,0.0,8.33,21.0,-1.0,-1.0,2024-04-03
-4.78,36.05,1003.76,12.0,15.84,16.93,K05U,0.0,6.33,17.0,7.0,22.0,2024-04-04
-12.5,36.4,1003.08,2.5,16.1,5.96,K05U,0.0,15.83,7.0,-2.0,-1.0,2024-04-05
-9.41,55.73,1016.96,-1.15,-999998.0,7.63,K05U,0.0,19.48,3.17,-5.47,-1.0,2024-04-06
-8.74,57.15,1021.85,-0.25,-999998.0,2.85,K05U,0.0,18.59,5.2,-5.71,-1.0,2024-04-07
-7.16,58.94,1020.53,0.76,-999998.0,6.13,K05U,0.0,17.57,6.54,-5.01,-1.0,2024-04-08
-4.6,59.83,1022.76,4.13,-999998.0,4.56,K05U,0.0,14.2,11.62,-3.35,-1.0,2024-04-09
-1.39,57.49,1021.41,7.17,-999998.0,2.89,K05U,0.0,11.16,14.7,-0.36,-1.0,2024-04-10
-0.76,49.08,1016.58,10.29,-999998.0,1.54,K05U,0.0,8.04,18.76,1.82,291.0,2024-04-11
-6.0,36.5,1013.58,8.5,16.1,8.59,K05U,0.0,9.83,9.0,8.0,828.0,2024-04-12
-11.0,23.0,1010.87,9.0,16.1,11.01,K05U,0.0,9.33,9.0,9.0,507.0,2024-04-13
-11.0,23.0,1010.87,9.0,16.1,11.01,K05U,0.0,9.33,9.0,9.0,-1.0,2024-04-14
-3.48,57.73,1014.11,4.54,-999998.0,5.95,K05U,0.0,13.79,10.04,-0.96,66.0,2024-04-15
-0.08,62.26,1018.32,7.39,-999998.0,3.7,K05U,0.0,10.94,16.11,-1.33,-1.0,2024-04-16
-2.0,24.0,1019.0,17.56,16.1,11.01,K05U,0.0,0.78,19.0,16.11,-1.0,2024-04-17
-3.68,21.91,1015.95,19.5,16.1,7.96,K05U,1.17,0.0,21.0,18.0,-1.0,2024-04-18
-2.36,42.73,1013.45,9.92,-999998.0,3.34,K05U,0.0,8.41,18.0,1.85,-1.0,2024-04-19
-3.0,36.81,1021.71,12.0,16.1,1.57,K05U,0.0,6.33,18.0,6.0,-1.0,2024-04-20
-4.53,17.33,1023.4,20.5,15.23,0.0,K05U,2.17,0.0,23.0,18.0,-1.0,2024-04-21
-1.39,34.98,1011.72,13.22,-999998.0,2.19,K05U,0.0,5.11,21.26,5.19,-1.0,2024-04-22
-0.68,32.78,1007.83,15.44,-999998.0,1.75,K05U,0.0,2.89,21.91,8.97,-1.0,2024-04-23
4.27,53.77,1009.34,13.59,-999998.0,2.63,K05U,0.0,4.75,20.5,6.67,245.0,2024-04-24
2.57,63.63,1009.7,8.85,-999998.0,5.5,K05U,0.0,9.48,14.62,3.08,54.0,2024-04-25
1.32,74.14,1006.95,6.97,-999998.0,5.75,K05U,0.0,11.36,11.91,2.03,1885.0,2024-04-26
0.25,86.25,1018.66,2.5,16.1,3.13,K05U,0.0,15.83,3.0,2.0,131.0,2024-04-27
1.0,87.0,1019.0,3.0,16.1,0.0,K05U,0.0,15.33,3.0,3.0,-1.0,2024-04-28
-6.37,44.38,1015.95,9.5,16.1,8.88,K05U,0.0,8.83,19.0,0.0,-1.0,2024-04-29
-10.49,36.9,1016.29,7.0,16.1,5.44,K05U,0.0,11.33,19.0,-5.0,-1.0,2024-04-30
-7.22,70.91,1013.92,-1.0,16.1,7.28,K06D,0.0,19.33,7.0,-9.0,-1.0,2024-04-01
-0.11,87.76,1014.07,1.82,-999998.0,8.3,K06D,0.0,16.51,3.44,0.2,-1.0,2024-04-02
-3.18,66.06,1015.27,3.5,16.1,5.12,K06D,0.0,14.83,8.0,-1.0,-1.0,2024-04-03
-5.39,53.0,1016.97,4.0,16.1,5.59,K06D,0.0,14.33,12.0,-4.0,-1.0,2024-04-04
-4.78,50.56,1016.29,5.5,16.1,11.07,K06D,0.0,12.83,13.0,-2.0,-1.0,2024-04-05
-2.22,52.64,1011.55,7.5,16.1,17.46,K06D,0.0,10.83,14.0,1.0,-1.0,2024-04-06
-1.89,60.01,1009.85,5.5,16.1,9.78,K06D,0.0,12.83,12.0,-1.0,-1.0,2024-04-07
-0.17,72.57,1007.82,5.5,16.1,5.59,K06D,0.0,12.83,12.0,-1.0,-1.0,2024-04-08
-2.11,54.29,1006.13,7.5,16.1,4.89,K06D,0.0,10.83,16.0,-1.0,-1.0,2024-04-09
2.06,67.67,1008.5,7.5,15.62,8.08,K06D,0.0,10.83,14.0,1.0,16.0,2024-04-10
2.28,76.69,1013.92,6.5,15.46,14.96,K06D,0.0,11.83,11.0,2.0,-1.0,2024-04-11
-0.11,70.92,1015.61,6.0,16.1,4.59,K06D,0.0,12.33,14.0,-2.0,-1.0,2024-04-12
1.06,47.04,1005.79,13.0,16.1,12.57,K06D,0.0,5.33,22.0,4.0,326.0,2024-04-13
-1.56,44.8,1013.58,10.5,16.1,10.28,K06D,0.0,7.83,19.0,2.0,-1.0,2024-04-14
-2.56,48.17,1014.6,7.5,16.1,9.88,K06D,0.0,10.83,13.0,2.0,48.0,2024-04-15
3.39,87.1,1007.48,6.0,13.68,11.77,K06D,0.0,12.33,8.0,4.0,1573.0,2024-04-16
2.56,87.69,1006.13,4.5,10.63,13.67,K06D,0.0,13.83,7.0,2.0,179.0,2024-04-17
