city,closure_layoff,company,county,effective_date,industry,notes,number_of_workers,region,state,temporary_permanent,unions,warn_received_date
Statewide,None,Nordstrom Card Services,None,None,None,None,15,None,Utah,None,None,2026-02-21
Clackamas,Large Layoff - 10 or more workers,Vacuum Technique LLC,None,04/30/2026-06/30/2026,None,9415,78,None,Oregon,None,None,2025-12-31
Johnson City,Layoff,"US Endodontics, LLC",Washington,2/27/26,None,#202500025,70,None,Tennessee,Permanent,None,2025-12-30
Atlanta,Permanent Layoff / Reduction in Force,The Coca-Cola Company,Fulton,2/28/25,None,GA202500061,75,None,Georgia,None,None,2025-12-30
Deposit,Layoff - Temporary,"Crockett & Sons Concrete, Inc.",None,12/26/25,238110,"61 Marian Drive Port Deposit, MD 21904",4,Susquehanna,Maryland,None,None,2025-12-29
Fayette,Closure,"Eagle Machining - First Brands Group, LLC",Fulton,02/27/2026-03/31/2026,None,007-25-87,251,None,Ohio,Permanent,UAW Local 1181,2025-12-29
Fort Worth,None,FedEx Corporation Facility,Tarrant,3/2/26,None,None,89,North Central Texas WDA,Texas,None,None,2025-12-29
Dallas,None,"Televista, Inc.",Tarrant,2/28/26,None,None,110,Tarrant County WDA,Texas,None,None,2025-12-29
Bellevue,Layoff,Doosan GridTech,None,2/27/26,None,None,24,None,Washington,Permanent,None,2025-12-29
North Charleston,Closure,"WeDriveU, Inc.",Charleston,2/28/26,None,"3664 Leeds Ave., North Charleston, SC 29405",194,None,South Carolina,Permanent,None,2025-12-28
3025 E. Dominguez St. Carson CA 90810,Layoff Not known at this time,Fullstack Modular LLC,Los Angeles County,2/23/26,31-33 Manufacturing,None,200,None,California,None,None,2025-12-24
Medford,Large Layoff - 10 or more workers,"Solgen Power, LLC dba Purelight Power",None,12/23/2025-12/26/2025,None,9414,109,None,Oregon,None,None,2025-12-23
Indianapolis,Closure,AAR Aircraft Services,None,2/15/26,31-33,Manufacturing,329,None,Indiana,None,None,2025-12-23
Montgomery,Layoff,Montgomery UPS,None,2/23/26,None,None,128,None,Alabama,None,None,2025-12-23
Ankeny,Closing,"Solgen Power, LLC, d/b/a Purelight Power",Polk,12/23/25,Construction,None,29,Central Iowa,Iowa,None,None,2025-12-23
Farmington Hills,Closure,Mercedes-Benz Financial Services USA LLC,Oakland,12/31/25,None,None,265,None,Michigan,Permanent,None,2025-12-23
